StudentId,EnrollmentNumber,FirstName,MiddleName,LastName,DateOfBirth,EnrollmentDate,EmailId,Gender,ContactNumber,AlternateNumber,University,Stream,PermanentAddress,City,Country,ZipCode,CurrentAddress,category
2411,,Edward,,Ingram,2016-05-21,2016-03-22,mrichardson@gmail.com,Male,8437593515,,Cambridge,Law,"36499 Jennifer Gateway Suite 343 Banksville, PW 37544",,,,"36499 Jennifer Gateway Suite 343 Banksville, PW 37544",
1845,,Shannon,,Kirby,1920-02-04,1919-12-24,carrieshepherd@gmail.com,Female,1829603764,,Imperial College of London,Computers,"049 Smith Inlet Apt. 568 Frederickton, WV 55738",,,,"049 Smith Inlet Apt. 568 Frederickton, WV 55738",
1503,,Jennifer,,Brown,1912-05-19,1912-04-07,hurleyraymond@hotmail.com,Female,3375812650,,Oxford,Law,"09705 Rachel Track Apt. 622 Lake Joshuashire, CA 72925",,,,"09705 Rachel Track Apt. 622 Lake Joshuashire, CA 72925",
3227,,Laura,,Petersen,2022-01-25,2021-11-13,deborahroberts@hotmail.com,Female,7099485932,,Cambridge,Architect,"5033 Kelly Roads Lake Charles, MO 08234",,,,"5033 Kelly Roads Lake Charles, MO 08234",
1280,,Dakota,,Rose,2001-03-11,2001-01-03,jonathanhess@gmail.com,Male,6329518183,,University of Chicago,Law,"02574 Jose Run Brendaside, IA 13338",,,,"02574 Jose Run Brendaside, IA 13338",
2000,251,Robert,Ferry,William,1994-03-30,2012-06-30,rwilliam@gmail.com,Male,986456781,,,Engineering,36 Henry Courts,LA,USA,672461,,G
2001,252,Shawn,William,Symonds,1994-06-30,2012-10-30,smarsh@gmail.com,Male,789789571,,,Science,36 Courts Alps,LA,USA,672461,,G
2002,253,Shakes,William,Henry,1996-06-30,2020-10-30,sshakes@gmail.com,Male,789722571,,,Science,598 Courts Alps,LA,USA,672461,,G
2000,251,Robert,Ferry,William,1994-03-30,2012-06-30,rwilliam@gmail.com,Male,986456781,,,Engineering,36 Henry Courts,LA,USA,672461,,G
2001,252,Shawn,William,Symonds,1994-06-30,2012-10-30,smarsh@gmail.com,Male,789789571,,,Science,36 Courts Alps,LA,USA,672461,,G
2002,253,Shakes,William,Henry,1996-06-30,2020-10-30,sshakes@gmail.com,Male,789722571,,,Science,598 Courts Alps,LA,USA,672461,,G
